date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2006:35:54%20GMT	https://demo2.mercury.is/?p=159	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/indexb950.html	(from https://demo2.mercury.is/game/lucky-dragon/)
14:35:57	52027/52027	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:56%20GMT	https://demo2.mercury.is/restricted-country/ukraine/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/restricted-country/ukraine/index.html	(from https://demo2.mercury.is/game/lucky-dragon/)
14:35:58	98873/98873	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:57%20GMT	https://demo2.mercury.is/casino/win-casino/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/casino/win-casino/index.html	(from https://demo2.mercury.is/game/lucky-dragon/)
14:35:59	511162/511162	---M--	200	added ('OK')	image/jpeg	etag:%225ea3052b-7ccba%22	https://demo2.mercury.is/wp-content/uploads/2020/04/game-4-compressed-scaled.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-content/uploads/2020/04/game-4-compressed-scaled.jpg	(from https://demo2.mercury.is/game/lucky-dragon/)
14:36:00	2568/2568	---MCZ	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2006:35:58%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fgame%2Fdeep-sea%2F	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed72e5.json	(from https://demo2.mercury.is/game/deep-sea/)
14:36:00	56516/56516	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202020%2006:35:58%20GMT	https://demo2.mercury.is/game/deep-sea/feed/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/game/deep-sea/feed/index.html	(from https://demo2.mercury.is/game/deep-sea/)
14:36:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2006:35:59%20GMT	https://demo2.mercury.is/?p=161	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/index8816.html	(from https://demo2.mercury.is/game/deep-sea/)
14:36:00	2787/2787	---MCZ	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2006:35:59%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fgame%2Fdeep-sea%2F&format=xml	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embedca10	(from https://demo2.mercury.is/game/deep-sea/)
14:36:00	782032/782032	---M--	200	added ('OK')	image/jpeg	etag:%225ea305ef-beed0%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692.jpg	(from https://demo2.mercury.is/game/deep-sea/)
14:36:02	124235/124235	---M--	200	added ('OK')	image/jpeg	etag:%225ea3061a-1e54b%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-2000x400.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-2000x400.jpg	(from https://demo2.mercury.is/game/deep-sea/)
14:36:03	145995/145995	---M--	200	added ('OK')	image/jpeg	etag:%225ea30586-23a4b%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-767x767.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-767x767.jpg	(from https://demo2.mercury.is/game/deep-sea/)
14:36:12	74164/74164	---M--	200	added ('OK')	image/jpeg	etag:%225ea3068c-121b4%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-479x479.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_225861692-479x479.jpg	(from https://demo2.mercury.is/game/deep-sea/)
14:36:12	307847/307847	---M--	200	added ('OK')	image/jpeg	etag:%225ea30571-4b287%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed.jpg	(from https://demo2.mercury.is/game/new-camelot/)
14:36:13	89601/89601	---M--	200	added ('OK')	image/jpeg	etag:%225ea30688-15e01%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-2000x400.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-2000x400.jpg	(from https://demo2.mercury.is/game/new-camelot/)
14:36:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2006:36:12%20GMT	https://demo2.mercury.is/?p=163	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/index4034.html	(from https://demo2.mercury.is/game/new-camelot/)
14:36:14	71269/71269	---M--	200	added ('OK')	image/jpeg	etag:%225ea306a7-11665%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-767x767.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-767x767.jpg	(from https://demo2.mercury.is/game/new-camelot/)
14:36:15	35102/35102	---M--	200	added ('OK')	image/jpeg	etag:%225ea306dd-891e%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-479x479.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_171659827-compressed-479x479.jpg	(from https://demo2.mercury.is/game/new-camelot/)
14:36:17	2817/2817	---MCZ	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2006:36:16%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fbonus%2Fup-to-500-bonus-50-bonus-spins-at-royal%2F	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embedcabd.json	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:18	315092/315092	---M--	200	added ('OK')	image/jpeg	etag:%225ea307a6-4ced4%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_191270586-compressed-scaled.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_191270586-compressed-scaled.jpg	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2006:36:17%20GMT	https://demo2.mercury.is/?p=209	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/index4e6a.html	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:18	3036/3036	---MCZ	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2006:36:17%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fbonus%2Fup-to-500-bonus-50-bonus-spins-at-royal%2F&format=xml	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed12f8	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:18	56516/56516	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202020%2006:36:17%20GMT	https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/feed/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/feed/index.html	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:20	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2006:36:19%20GMT	http://demo2.mercury.is/wp-content/uploads/2020/04/AdobeStock_267254823-compressed-1024x683.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-content/uploads/2020/04/AdobeStock_267254823-compressed-1024x683.66.delayed	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:20	71387/71387	---M--	200	added ('OK')	image/jpeg	etag:%225ea30641-116db%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_191270586-compressed-900x675.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/AdobeStock_191270586-compressed-900x675.jpg	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:21	78971/78971	---M--	200	added ('OK')	image/jpeg	etag:%225ea307a1-1347b%22	https://demo2.mercury.is/wp-content/uploads/2020/04/AdobeStock_267254823-compressed-1024x683.jpg	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-content/uploads/2020/04/AdobeStock_267254823-compressed-1024x683.jpg	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:21	78324/78324	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:36:21%20GMT	https://demo2.mercury.is/bonus/ocean-casino-100-bonus-cash-200-bonus-spins/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/bonus/ocean-casino-100-bonus-cash-200-bonus-spins/index.html	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:22	78401/78401	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:36:20%20GMT	https://demo2.mercury.is/bonus/10-wager-free-spins-up-to-200-on-first-deposit/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/bonus/10-wager-free-spins-up-to-200-on-first-deposit/index.html	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:22	78181/78181	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:36:20%20GMT	https://demo2.mercury.is/bonus/get-100-match-bonus-up-to-100-100-spins/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/bonus/get-100-match-bonus-up-to-100-100-spins/index.html	(from https://demo2.mercury.is/bonus/up-to-500-bonus-50-bonus-spins-at-royal/)
14:36:22	2825/2825	---MCZ	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2006:36:21%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fbonus%2Fget-100-up-to-150-50-bonus-spins-at-play%2F	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed0b65.json	(from https://demo2.mercury.is/bonus/get-100-up-to-150-50-bonus-spins-at-play/)
14:36:24	3044/3044	---MCZ	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2006:36:22%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fbonus%2Fget-100-up-to-150-50-bonus-spins-at-play%2F&format=xml	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed2c08	(from https://demo2.mercury.is/bonus/get-100-up-to-150-50-bonus-spins-at-play/)
